---------------10	
90	37.2529	
90	37.6903	
85	32.8071	
86	36.6559	
84	35.0887	
83	38.1008	
88	41.2446	
91	38.2024	
93	47.1657	
86	41.5796	
86	42.2457	
92	39.0144	
87	34.8023	
88	38.5259	
87	33.5459	
89	31.0323	
85	34.2543	
92	42.3052	
88	34.04	
92	44.674	
88	37.9324	
89	37.5553	
89	34.1737	
84	39.8632	
88	35.88	
87	36.2952	
89	36.8862	
87	41.172	
83	32.4121	
91	38.7785	
86	39.6792	
82	36.3654	
91	41.2755	
83	34.2027	
89	37.1824	
83	33.6096	
87	41.5922	
92	42.9434	
86	33.8193	
87	40.4051	
87	40.7592	
87	42.4078	
92	41.2345	
85	37.4087	
92	44.4115	
89	39.0596	
88	37.111	
88	35.0143	
83	38.9804	
83	34.5607	
92	35.8845	
85	36.3768	
87	37.4337	
89	37.561	
88	38.8046	
88	38.0393	
88	37.1129	
90	40.2787	
87	36.0334	
87	35.8791	
85	35.7196	
85	37.9788	
87	36.7778	
87	40.0118	
92	37.5627	
91	43.3218	
85	39.1997	
87	32.9366	
83	41.3473	
87	38.4358	
85	36.3152	
89	39.4315	
89	36.2541	
90	43.5602	
84	36.5325	
92	41.8657	
90	38.2403	
92	40.0153	
84	38.6892	
88	37.0661	
86	37.9643	
89	37.06	
90	39.4932	
80	36.0669	
88	32.2045	
85	35.283	
91	37.7678	
89	43.301	
93	40.0929	
92	38.6468	
88	39.6506	
80	35.4488	
93	38.1522	
86	35.4092	
87	35.4924	
88	38.7318	
84	41.385	
85	34.3659	
88	36.9218	
92	39.167	
90	40.772	
91	39.2695	
82	35.1592	
85	39.4961	
92	38.3635	
91	36.4187	
86	37.3843	
89	40.3547	
85	39.1403	
90	38.5593	
93	38.7724	
92	38.3366	
85	35.1573	
83	36.5713	
90	39.0801	
85	35.8932	
89	38.1376	
88	36.6954	
85	37.0512	
87	35.1618	
91	38.1317	
88	42.1165	
87	42.0257	
84	35.5516	
85	31.7563	
87	36.7941	
86	37.9635	
90	36.3116	
93	42.0246	
84	33.9409	
88	36.7105	
86	39.5607	
88	38.6654	
86	42.6191	
87	38.5094	
87	36.9155	
89	35.3564	
91	39.3553	
88	32.7372	
89	38.7478	
88	38.042	
87	37.6432	
91	39.2926	
86	34.5516	
92	38.566	
86	39.0579	
89	35.9885	
90	39.6298	
93	41.8637	
86	33.8208	
83	37.816	
91	35.4838	
87	42.1839	
88	36.7222	
94	34.4821	
88	35.3619	
87	36.0645	
91	40.601	
89	36.996	
90	35.6054	
92	39.6086	
88	38.9293	
91	38.434	
88	36.4075	
85	39.95	
87	39.3757	
85	36.7973	
92	42.1424	
93	36.3916	
94	41.106	
91	40.7144	
82	33.6686	
84	38.0531	
86	42.2901	
89	36.0583	
88	38.1404	
93	36.5887	
93	39.6435	
90	38.8194	
88	33.6063	
87	36.8976	
89	39.1929	
85	40.5547	
90	39.9016	
90	38.5647	
89	43.6063	
91	40.6307	
90	40.7889	
88	36.8287	
89	35.5706	
88	32.1925	
87	35.7584	
84	40.1214	
91	42.4724	
84	35.0685	
90	38.1332	
92	43.3526	
86	33.3762	
85	38.3609	
91	40.5963	
93	41.4867	
91	36.4502	
86	37.2388	
89	38.4252	
92	39.549	
85	32.1129	
89	37.6543	
84	38.8254	
90	40.9608	
91	38.062	
87	41.2572	
79	34.8471	
93	38.3986	
85	33.9058	
86	32.7562	
87	37.9299	
83	36.6298	
88	36.5082	
89	35.551	
92	42.8795	
85	36.8872	
86	39.7908	
88	40.173	
88	39.1867	
86	38.5077	
89	37.4342	
88	42.1421	
90	42.0468	
86	38.3417	
93	43.605	
88	36.08	
87	37.5766	
87	39.6315	
89	37.0835	
89	37.6582	
84	36.0034	
92	41.9511	
89	42.3486	
90	41.7624	
90	39.7802	
87	37.5906	
87	36.1388	
87	39.6162	
86	36.6591	
82	35.6336	
87	36.9424	
88	38.8656	
87	38.6458	
92	39.132	
88	38.0309	
84	29.9371	
88	37.6213	
89	41.4209	
87	36.2453	
86	37.4611	
92	35.4546	
82	35.2996	
87	34.6746	
89	43.1866	
82	37.0928	
89	36.4977	
86	35.441	
87	42.8015	
93	37.8571	
88	35.8771	
89	38.5988	
86	41.3219	
81	36.5842	
85	42.1288	
91	36.526	
92	43.0302	
89	41.6739	
88	37.4611	
85	38.8898	
87	32.9071	
91	40.8834	
86	35.1863	
90	36.6146	
88	38.3922	
87	41.9475	
89	40.1237	
91	38.5964	
91	37.4415	
94	37.3033	
89	43.0384	
84	38.9273	
87	37.8191	
81	37.0911	
92	40.008	
92	37.0781	
89	41.5261	
90	31.9685	
85	41.0303	
89	37.6235	
85	36.65	
91	37.2608	
90	39.6227	
94	42.4875	
85	34.7416	
90	35.7561	
94	35.4747	
89	40.7744	
88	35.6207	
87	44.8329	
86	42.466	
88	35.139	
91	33.8661	
86	36.9371	
88	40.0723	
85	39.8743	
91	38.8681	
92	41.4022	
89	37.5838	
84	37.7494	
92	40.0305	
89	37.9648	
83	39.8183	
89	40.0552	
82	35.8273	
86	35.4267	
89	43.7636	
85	41.9149	
90	39.5678	
90	40.7327	
89	40.5821	
86	33.102	
86	33.2559	
85	39.3285	
91	41.6249	
89	39.6809	
91	40.8461	
88	40.4789	
87	34.9812	
84	34.3758	
86	37.5294	
85	36.5108	
94	39.3399	
91	39.5911	
92	36.3577	
89	33.6741	
90	41.5226	
91	40.841	
89	36.9084	
84	33.8114	
82	34.7167	
90	37.2413	
89	33.7139	
88	35.2839	
89	36.8324	
88	42.7941	
81	33.8351	
84	36.5426	
88	37.1538	
84	34.5449	
87	35.4167	
86	33.6842	
86	36.6144	
88	35.8569	
88	37.5954	
85	39.2778	
89	40.0431	
86	37.6708	
87	40.9941	
85	39.047	
89	37.4292	
87	39.5268	
90	44.9772	
86	38.8805	
86	33.4329	
91	40.5346	
89	33.6457	
91	40.7714	
85	40.3014	
94	42.0603	
91	39.0766	
92	38.636	
92	38.3917	
89	34.4823	
91	42.3396	
88	39.0445	
91	46.4399	
93	43.3259	
90	38.2996	
86	35.7843	
89	38.7721	
88	37.4135	
92	43.2298	
88	38.6711	
79	36.9471	
89	33.3628	
84	37.7242	
87	42.2801	
90	40.5369	
89	37.8803	
88	38.5915	
91	40.4119	
91	39.0464	
87	40.746	
92	41.957	
88	45.0371	
88	40.7207	
91	42.8103	
85	35.6704	
84	36.2011	
90	37.4126	
88	40.1259	
90	36.6788	
85	35.7277	

平均88.269	37.0534	
---------------20	
85	29.4423	
83	29.1183	
86	26.9415	
84	26.7551	
78	25.8961	
85	28.4248	
78	26.2877	
83	29.0258	
86	30.8553	
77	28.5765	
80	25.9353	
83	28.0952	
85	29.5786	
81	29.7769	
86	31.0723	
83	25.5873	
82	27.3723	
79	25.5134	
84	27.9682	
75	26.8232	
80	24.5157	
80	28.0261	
83	29.1114	
83	28.6523	
81	28.2906	
84	28.4825	
81	30.484	
85	29.3024	
84	30.3921	
81	29.8142	
80	27.9108	
81	31.5327	
78	28.2924	
87	27.0753	
81	26.5747	
80	27.8285	
82	28.8374	
86	28.599	
78	26.4548	
82	24.8473	
82	28.0332	
81	27.3901	
79	29.3284	
82	27.1758	
88	31.184	
79	27.3297	
90	28.9019	
83	26.0942	
82	29.64	
87	29.6231	
84	27.2665	
75	28.5051	
87	30.7262	
85	30.2453	
83	29.6034	
86	29.8748	
85	29.5408	
81	29.0971	
81	28.6819	
87	28.473	
87	31.033	
88	29.1583	
84	34.5557	
80	25.6665	
82	27.2059	
83	30.3948	
80	25.7002	
88	31.7194	
80	26.0542	
84	28.0466	
84	27.9855	
86	26.4521	
86	30.9844	
79	28.1579	
85	27.3192	
84	26.9042	
84	27.732	
